,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,1,0,0,0,0.0
1,1,0,0,0,0.0
2,1,0,0,0,0.0
3,1,0,0,0,0.0
4,1,0,0,0,0.0
5,1,0,0,0,0.0
6,1,0,0,0,0.0
7,1,0,0,0,0.0
8,1,0,0,0,0.0
9,1,0,0,0,0.0
10,1,0,0,0,0.0
11,2,0,1,0,0.0
12,7,0,5,0,0.0
13,11,0,4,0,0.0
14,13,0,2,0,0.0
15,14,0,1,0,0.0
16,15,0,1,0,0.0
17,30,0,15,0,0.0
18,52,0,22,0,0.0
19,94,0,42,0,0.0
20,137,0,43,0,0.0
21,161,0,24,0,0.0
22,203,0,42,0,0.0
23,260,0,57,0,0.0
24,355,0,95,0,0.0
25,500,1,145,1,0.002
26,687,1,187,0,0.001455604075691412
27,814,1,127,0,0.0012285012285012285
28,961,2,147,1,0.002081165452653486
29,1040,3,79,1,0.0028846153846153848
30,1121,7,81,4,0.006244424620874219
31,1196,8,75,1,0.006688963210702341
32,1301,10,105,2,0.007686395080707148
33,1439,11,138,1,0.007644197359277276
34,1639,16,200,5,0.009762050030506406
35,1770,20,131,4,0.011299435028248588
36,1934,21,164,1,0.010858324715615306
37,2046,27,112,6,0.013196480938416423
38,2299,40,253,13,0.017398869073510223
39,2526,62,227,22,0.02454473475851148
40,2840,77,314,15,0.027112676056338027
41,3069,105,229,28,0.03421309872922776
42,3447,105,378,0,0.030461270670147953
43,3700,110,253,5,0.02972972972972973
44,4028,146,328,36,0.03624627606752731
45,4435,180,407,34,0.040586245772266064
46,4947,239,512,59,0.04831210834849404
47,5568,308,621,69,0.05531609195402299
48,6131,358,563,50,0.058391779481324416
49,6443,373,312,15,0.05789228620207978
50,6830,401,387,28,0.05871156661786237
51,7206,477,376,76,0.06619483763530391
52,7693,591,487,114,0.076823085922267
53,8419,687,726,96,0.08160114027794275
54,9141,793,722,106,0.08675199649928891
55,9685,870,544,77,0.08982963345379452
56,10151,887,466,17,0.08738055364003547
57,10483,899,332,12,0.0857578937327101
58,10948,919,465,20,0.08394227256119839
59,11445,1033,497,114,0.09025775447793796
60,11927,1203,482,170,0.10086358681982058
61,12540,1333,613,130,0.10629984051036682
62,13216,1400,676,67,0.1059322033898305
63,13822,1511,606,111,0.10931847778903198
64,14385,1540,563,29,0.1070559610705596
65,14777,1580,392,40,0.10692292075522772
66,15322,1765,545,185,0.11519383892442239
67,16004,1937,682,172,0.12103224193951512
68,16755,2021,751,84,0.12062071023575052
69,17567,2152,812,131,0.12250241930893152
70,18177,2192,610,40,0.12059195686857017
71,18640,2194,463,2,0.11770386266094421
72,18926,2274,286,80,0.12015217161576668
73,19621,2355,695,81,0.12002446358493452
74,20302,2462,681,107,0.1212688405083243
75,21092,2586,790,124,0.12260572728996776
76,21520,2653,428,67,0.12328066914498141
77,22082,2669,562,16,0.12086767502943574
78,22317,2679,235,10,0.12004301653448043
79,22721,2769,404,90,0.1218696360195414
80,23216,2854,495,85,0.12293246037215713
81,23918,2941,702,87,0.12296178610251693
